# формат списка телеканалов
# <имя файла>|<название телеканала>
# разделение имени файла и телеканала символом <|>
# имя файла указвать без расширения

1|Первый канал
5|Пятый канал
Домашний|Домашний
Звезда|Звезда
Культура|Культура
Матч|Матч
Мир|Мир
НТВ|НТВ
ОРТ|ОРТ
ОТР|ОТР
Пятница|Пятница
Рентв|Рентв
Россия|Россия
Спас|Спас
СТС|СТС
ТВ3|ТВ3
ТВЦ|ТВЦ
ТНТ|ТНТ
